code,name,date,ytd_high_flag,ytd_high_streak,ytd_high_count,close,high,volume,score
1444,ニッソウ,2026-06-22,False,0,11,2853.0,2853.0,700.0,10
1795,マサル,2026-06-22,False,0,18,4800.0,4845.0,600.0,20
2795,日本プリメックス,2026-06-22,False,0,9,900.0,900.0,100.0,0
2872,セイヒョー,2026-06-22,False,0,14,2057.0,2078.0,2100.0,0
2961,日本調理機,2026-06-22,False,0,7,4920.0,4920.0,0.0,0
3184,ＩＣＤＡホールディングス,2026-06-22,False,0,13,4350.0,4350.0,100.0,0
3426,アトムリビンテック,2026-06-22,False,0,2,1300.0,1300.0,800.0,10
3495,香陵住販,2026-06-22,False,0,17,2372.0,2372.0,300.0,0
3670,協立情報通信,2026-06-23,False,0,4,1675.0,1759.0,4800.0,25
3947,ダイナパック,2026-06-22,False,0,20,2200.0,2200.0,4500.0,15
4705,クリップコーポレーション,2026-06-22,False,0,12,794.0,809.0,15700.0,20
4937,Ｗａｑｏｏ,2026-06-22,False,0,11,1553.0,1553.0,300.0,5
5126,ポーターズ,2026-06-22,False,0,2,1426.0,1426.0,600.0,10
5533,エリッツホールディングス,2026-06-22,False,0,9,1861.0,1861.0,100.0,0
5945,天龍製鋸,2026-06-22,False,0,11,2499.0,2499.0,0.0,10
5987,オーネックス,2026-06-22,False,0,4,1870.0,1870.0,400.0,5
6484,ＫＶＫ,2026-06-22,False,0,5,2319.0,2320.0,2200.0,0
6943,ＮＫＫスイッチズ,2026-06-22,False,0,7,4930.0,4930.0,0.0,10
7031,インバウンドテック,2026-06-22,False,0,8,637.0,637.0,1000.0,10
7058,共栄セキュリティーサービス,2026-06-22,False,0,7,3045.0,3045.0,1400.0,20
7265,エイケン工業,2026-06-22,False,0,9,3830.0,3835.0,600.0,10
7363,ベビーカレンダー,2026-06-22,False,0,3,1030.0,1030.0,1400.0,0
7509,アイエーグループ,2026-06-22,False,0,13,4600.0,4600.0,200.0,5
7677,ヤシマキザイ,2026-06-22,False,0,10,2518.0,2519.0,500.0,0
7851,カワセコンピュータサプライ,2026-06-23,False,0,3,175.0,175.0,3900.0,10
7857,セキ,2026-06-22,False,0,9,1279.0,1280.0,1000.0,0
7863,平賀,2026-06-22,False,0,4,969.0,969.0,0.0,5
7985,ネポン,2026-06-23,False,0,15,715.0,721.0,700.0,0
7986,日本アイ・エス・ケイ,2026-06-22,False,0,13,1777.0,1777.0,600.0,0
8123,川辺,2026-06-22,False,0,10,1314.0,1325.0,900.0,10
8225,タカチホ,2026-06-22,False,0,4,3310.0,3350.0,300.0,0
9225,ブリッジコンサルティンググループ,2026-06-22,False,0,7,960.0,983.0,2000.0,5
9258,ＣＳ－Ｃ,2026-06-22,False,0,4,291.0,299.0,200.0,0
